S.N.,EVENTS,STATUS,ORGANIZING COLLEGE,"PROPOSED DATE
I/C  TOURNAMENT"
1,Aquatics (M&W),Direct,"Ex. Sports Committee, DAVV., Ind.",05 Oct. 2018
2,Archery (M&W),Direct,"Shri Kanwar Tara Coll., Mandleshwar",23 Sept. 2018
3,Athletics (M&W),Direct Division,"Ex. Sports Committee, DAVV., Ind.",26-28 Oct. 2018
4,Badminton (M),Division,"St. Paul Inst. of Prof. Stud.,  Indore",28-29 Sept. 2018
5,Badminton (W),Direct Division,"Gujarati Professional Institute, Indore",27-28 Sept. 2018
6,Baseball (Men),Direct,"MB Khalsa College, Indore",4th week Jan. 2019
7,Baseball (Women),Direct,"I.K. College, Indore",4th week Jan. 2019
8,Basketball (M),Division,"NSP Govt. New Sc. College, Indore",28-29 Sept. 2018
9,Basketball (W),Direct Division,"Holker Sc. College, Indore",26-27 Sept. 2018
10,Boxing (M&W),Direct,"Ex. Sports Committee, DAVV., Ind.",Last week Oct. 2018
11,Chess (M),Division,"Govt. PG College, Alirajpur",15-17 Oct. 2018
12,Chess (W),Division,"Rewa Gurjar College, Sadawad",15-17 Oct. 2018
13,Cricket (M),Division,"ABV GACC., Indore",26-28 Nov. 2018
14,Cricket (W),Direct Division,"SN PG College, Khandwa",16-18 Jan. 2019
15,Cross Country Race (M&W),Direct,"Govt. PG College, Manawar",02 Oct. 2018
16,Foot ball (M),Division,"Govt. PG College, Dhar",24-25 Sept. 2018
17,Foot ball (W),Direct Division,"Kasturba Rural Institute, Indore",03-04 Oct. 2018
18,"Gymnastics(M&W) &
Malkhamb (M&W)",Direct,"Ex. Sports Committee, DAVV.,
Indore",09-11 Oct. 2018
19,Handball (M),Direct,"MB Khalsa College, Indore",IIIrd week Dec. 2018
20,Handball (W),Direct,"Gujarati Innovative College, Indore",11-13 Oct. 2018
21,Hockey (M),Direct Division,"Govt. PG College, Khargone",03-04 Oct. 2018
22,Hockey (W),Direct Division,"Ex. Sports Committee, DAVV., Ind.",30 Sept. 2018
23,Hockey ‘5’ (M) **,Direct,"Ex. Sports Committee, DAVV., Ind.",Ist week Jan. 2019
24,Judo (Men),Direct Division,"Shri Vaishnav Management Inst., Ind.",29 Sept. 2018
25,Judo (Women),Direct Division,"Mata Jijabai GGPG College, Indore",20 Sept. 2018
26,Kabaddi (M),Division,"Govt. PG College, Jhabua",25-26 Sept. 2018
27,Kabaddi (W),Direct Division,"MLB GGPG College, Indore",04-05 Oct. 2018
28,Kho-Kho (M),Division,"Govt. PG College, Barwani",27-28 Sept. 2018
29,Kho-Kho (W),Direct Division,"Mata Jijabai GGPG College, Indore",24-25 Sept. 2018
30,Power lifting (M&W),Direct,"PMB Gujarati Arts College, Indore",IIIrd week Jan. 2019
31,Roll ball (M&W) **,Direct,"Gujarati Professional Institute, Indore",IVth week Dec. 2018
32,Shooting (M&W),Direct,"IPS Academy, Indore",23-25 Oct. 2018
33,Softball (Men),Direct,"I.K. College, Indore",Ist week Feb. 2019
34,Softball (Women),Direct,"MB Khalsa College, Indore",Ist week Feb. 2019
35,Squash Rkts. (M),Direct,"Holker Sc. College, Indore",Last week Nov. 2018
36,Table Tennis (M),Division,"Chamelidevi Group Inst., Indore",03-05 Oct. 2018
37,Table Tennis (W),Direct Division,"Choithram Coll. of Prof. Stud., Indore",28-30 Sept. 2018
38,Taekwondo (M&W),Direct,"Shri KL Verma College, Pandhana",Last week Jan. 2019
39,Tennis (M),Direct,"NSP Govt. New Sc. College, Indore",IIIrd week Oct. 2018
40,Tennis (W),Direct,"Holker Sc. College, Indore",IIIrd week Oct. 2018
41,Volley ball (M),Division,"Shri Kanwar Tara Coll., Mandleshwar",05-06 Oct. 2018
42,Volleyball (W),Direct Division,"Maharaja Ranjit Singh Coll., Indore",06-08 Oct. 2018
43,"Weight lifting (M&W),
& Best Physique (M)",Direct,"PMB  Gujarati  Commerce  College.,
Indore",30-31 Oct. 2018
44,Wrestling (M),Direct Division,"Sewa Sadan College, Burhanpur",22 Sept. 2018
45,Wrestling (W),Direct Division,"RPL Maheshwari College, Indore",19 Sept. 2018
46,Yoga (M&W),Direct Division,"Choithram Coll. of Prof. Stud., Indore",30 Oct. 2018
47,Teachers Tournament,Direct Division,"Holker Sc. College, Indore",12-14 Feb. 2019
